AllocationTitle,AllocationSummary,AllocationSource,TotalUSDPlanned,PlannedStartDate,PlannedEndDate,Documents,PooledFundId,PooledFundName,AllocationYear,HRPPlans,AllocationHCLastProjectApprovalDate,TotalProjectsunderApproval,TotalUnderApprovalBudget,TotalProjectsApproved,TotalApprovedBudget,AllocationTypeId,AllocationSourceId,FundTypeId
Fast-tracked support to JRP priortized response,"The Regional Humanitarian Pooled Fund for Asia and the Pacific (RHPF-AP) – Bangladesh envelope seeks US$150 million to support life-saving humanitarian assistance under the 2025–2026 Joint Response Plan (JRP) for the Rohingya Humanitarian Crisis and address emerging needs from natural disasters.    Bangladesh hosts over one million Rohingya refugees alongside vulnerable host communities in Cox’s Bazar, one of the country’s poorest and most disaster-prone districts. Continued displacement from Myanmar, including 130,000 new arrivals in 2025 and 35,000 expected in 2026, has intensified humanitarian needs. The 2026 JRP targets 1.56 million people, with financial requirements of US$698.4 million, including US$495.3 million in Priority 1 life-saving interventions. Funding shortfalls have heightened food insecurity, malnutrition, protection risks, and exposure to climate-related hazards.    Bangladesh also faces recurrent climate shocks—cyclones, floods, landslides, and disease outbreaks—affecting millions annually. Between 2015 and 2024, disasters affected an average of 9.7 million people per year. In 2024 alone, Cyclone Remal and widespread flooding affected 18 million people, compounding vulnerabilities in refugee-hosting areas.    Managed by OCHA’s Regional Office for Asia and the Pacific (ROAP) under the Resident Coordinator (RC), the RHPF-AP Bangladesh envelope provides flexible, timely financing to priority sectors identified through coordinated humanitarian processes. Allocations are determined through a transparent, consultative mechanism involving an Advisory Board of local and international NGOs, UN agencies, cluster coordinators, donors, and government counterparts. Contributions are unearmarked and allocated based on agreed priorities.    The Fund operates through two windows: (i) Standard Allocations aligned with JRP priorities, and (ii) Reserve Allocations for rapid response to unforeseen emergencies. In 2026, the Fund will focus on acute food insecurity, malnutrition, inadequate WASH services, shelter and NFI gaps, health needs, protection risks including GBV and child protection, and preparedness for climate hazards. Key priorities include:    General food assistance and fresh food vouchers, with LPG support for safe cooking;    Prevention and treatment of acute malnutrition among children under five and pregnant and breastfeeding women;    Emergency WASH, health services, and support to field hospitals;    Emergency shelter and NFI assistance;    Protection services for individuals at heightened risk.    The RHPF-AP emphasizes localization, prioritizing national and local partners and promoting humanitarian action that is “as local as possible, as international as necessary.” Consolidated regional management ensures cost-efficiency and compliance with OCHA’s Global Guidelines for CBPFs.    Monitoring and accountability are central. A risk-based approach prioritizes high-risk projects, with field visits, third-party monitoring where required, and remote monitoring in access-constrained areas. Robust due diligence, financial oversight, reporting, audits, and UN oversight ensure transparency. The Fund upholds strong Accountability to Affected Populations (AAP) standards, including feedback mechanisms and strict compliance with the UN’s zero-tolerance policy on Sexual Exploitation and Abuse (SEA).    Through predictable, flexible, and principled pooled financing, the RHPF-AP Bangladesh envelope strengthens coordinated humanitarian leadership, addresses funding gaps, empowers local actors, and enables timely, life-saving assistance to the most vulnerable refugees and host communities.",Reserve,1.459E+08,3/6/2026 12:00:00 AM,3/20/2026 12:00:00 AM,Final APHF Bangladesh - 1st Reserve Allocation -JRP 5 March 2026 v3 (1).pdf##406144##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/BGD-AllocDocs_2026_1562_1646.pdf## Final APHF Bangladesh - 1st Reserve Allocation -JRP 5 March 2026.pdf,99,Bangladesh (AP-RHPF),2026,Temp HRP for US allocations only##2026,3/20/2026 12:00:00 AM,0,0,0,0,1562,1,1
U.S.-Funded Rapid Life-Saving Response Allocation,"The Ethiopia Humanitarian Fund (EHF) launches the First 2026 Reserve Allocation, funded through the United States’ landmark contribution to OCHA-managed pooled funds, to provide rapid, targeted and high-impact humanitarian assistance in Ethiopia’s most shock-affected areas with severity levels 4 and 5. As part of the US$100 million envelope allocated to Ethiopia, this allocation represents an exceptional and time-bound financing window, addressing the most urgent humanitarian priorities for 2026 and complementing other humanitarian interventions.",Reserve,1E+08,3/1/2026 12:00:00 AM,3/15/2026 12:00:00 AM,Annex 1.1_Life-Saving Activities and Indicators.xlsx##128764##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1608.xlsx##|||Annex 1.2_Woreda_Prioritization.xlsx##42044##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1609.xlsx##|||Annex 2_EHF Eligible Partners.xlsx##22026##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1610.xlsx##|||Annex 3_EHF Cross-Cutting Directive.pdf##300889##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1611.pdf##|||Annex 5_ECWG Guidance.pdf##923984##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1612.pdf##|||Annex 6_Cash Scale-up Strategy.pdf##296286##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1613.pdf##|||Annex 2_EHF Eligible Partners.xlsx##27374##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1616.xlsx##|||Annex 4_[US Award Technical Guidance] Financial Guidance Note.pdf##76572##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1617.pdf##|||Annex 4.1_Budget Preparation Technical Guide US allocation.pdf##303470##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1618.pdf##|||Annex 7_[US Award Technical Guidance] OneGMS and Programmatic Guidance.pdf##474965##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1619.pdf##|||Annex 8_[US Award Technical Guidance] OCHA Visibility Requirements.pdf##170102##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1620.pdf##|||Annex 9_OneGMS Project Proposal Template Sample.docx##90089##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1621.docx##|||20260301_EHF 2nd_RA_Strategy_Final.pdf##319214##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/ETH-AllocDocs_2026_1563_1622.pdf##,53,Ethiopia,2026,Temp HRP for US allocations only##2026,3/15/2026 12:00:00 AM,0,0,0,0,1563,1,1
Lifesaving drougt response and refugee service stabilization in Kenya's ASAL and camps,"The ESAHF Kenya Reserve Allocation provides US$48.5 million to deliver rapid, life-saving humanitarian assistance in response to worsening drought conditions and growing pressure on refugee services in Kenya. The strategy prioritizes two groups facing the most severe humanitarian risks: drought-affected populations in seven arid and semi-arid counties (ASALs), and vulnerable refugees in the Dadaab and Kakuma camps. Interventions will focus on emergency cash assistance for households in IPC Phase 4 conditions, treatment of acute malnutrition among children and pregnant and breastfeeding women, and critical WASH support to prevent disease and stabilize access to safe water.    In refugee settings, the allocation aims to stabilize essential services under significant funding strain, including WASH, nutrition, shelter and non-food items, and life-saving protection services. Funding is concentrated in locations with the highest severity of need and where partners have demonstrated operational capacity to deliver assistance quickly and at scale. Given the urgency of the crisis and the short six-month implementation window, partners selected for this allocation must have established systems and readiness to launch immediate, large-scale humanitarian operations while maintaining strong accountability and compliance with CBPF risk management requirements.",Reserve,5E+07,3/13/2026 12:00:00 AM,3/25/2026 12:00:00 AM,260312 - Kenya - Allocation Strategy (US Grant) (FINAL).docx##109380##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/KEN-AllocDocs_2026_1578_1659.docx##,511,Kenya (ESAHF),2026,Temp HRP for US allocations only##2026,3/25/2026 12:00:00 AM,0,0,0,0,1578,1,1
Fast-tracked support to hyper-prioritized HNRP 2026 – US funding,"This US funding allocation of US$136.1 million will provide rapid lifesaving assistance to people facing the most severe humanitarian needs in Myanmar, categorized as inter-sectoral needs severity 4 and 5 as defined by the Humanitarian Needs and Response Plan (HNRP) 2026",Reserve,1.361E+08,3/12/2026 12:00:00 AM,3/27/2026 12:00:00 AM,Finance Related Q&A.pdf##280696##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/MM-AllocDocs_2026_1571_1651.pdf##|||Program Related Q&A_Fast-Track US Award Allocation- FINAL-10 March 2026.pdf##510612##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/MM-AllocDocs_2026_1571_1652.pdf##|||Myanmar humanitarian clusters and working groups - coverage overview - as of March 2026 1.pdf##103142##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/MM-AllocDocs_2026_1571_1653.pdf##|||MHF US Award Allocation Strategy_Final_Updated 12.03.26.pdf##828465##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/MM-AllocDocs_2026_1571_1658.pdf##,59,Myanmar,2026,Temp HRP for US allocations only##2026,3/27/2026 12:00:00 AM,0,0,0,0,1571,1,1
"RA3-2026: Lifesaving humanitarian response in highly prioritized districts in Mozambique for conflict-affected populations in Cabo Delgado and Nampula, and for flood-affected populations in Gaza, Sofala, and Maputo.","This allocation of USD 77.8 million enables rapid, coordinated humanitarian action to address escalating conflict-related needs in northern Mozambique and the large-scale flooding emergency in southern and central provinces. Over a six-month timeframe, funding will support direct life-saving, multi-sectoral assistance—including emergency shelter, non-food items, WASH, health and nutrition, food security, and protection—prioritizing highly affected districts identified through the 2026 Humanitarian Response and Needs Plan and Floods Addendum. Special focus will be given to displaced populations, hard-to-reach communities, and vulnerable groups such as children, women, older persons, and persons with disabilities. Partners with operational presence, rapid delivery capacity, and strong monitoring systems will implement the allocation, ensuring principled, protection-sensitive, and accountable humanitarian action that complements other ongoing CERF and ESAHF support streams.",Reserve,7.78E+07,3/13/2026 12:00:00 AM,3/31/2026 12:00:00 AM,260313-ESAHF Moz-RA3 2026 (US Grant)-Allocation Strategy-Final.pdf##379379##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/MOZ-AllocDocs_2026_1572_1663.pdf##,89,Mozambique (RhPF),2026,Temp HRP for US allocations only##2026,3/31/2026 12:00:00 AM,0,0,0,0,1572,1,1
"Life-saving, multi-sectoral response to escalating and urgent needs in Nigeria.","The US Award allocation comes at a critical moment as humanitarian conditions deteriorate across Northeast, Northwest, and Northcentral Nigeria due to escalating violence, severe food insecurity, and rising health needs. The funding will urgently scale up the most time critical, lifesaving interventions for populations facing the highest severity of humanitarian needs and rapidly increasing conflict-related displacement in Northcentral states. It will enable partners to deliver integrated, multisectoral assistance, helping to prevent further loss of life, mitigate protection risks, and stabilize the most affected and vulnerable communities.",Reserve,1.215E+08,3/13/2026 12:00:00 AM,3/30/2026 12:00:00 AM,NHF RA1 2026 - First Reserve Allocation Strategy Paper_Final_Approved_11032026.pdf##558827##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/NGA-AllocDocs_2026_1573_1662.pdf##,75,Nigeria,2026,Temp HRP for US allocations only##2026,3/30/2026 12:00:00 AM,0,0,0,0,1573,1,1
Provision of life-saving humanitarian assistance to people with urgent needs,"The humanitarian situation in South Sudan continues to deteriorate as protracted conflict, political instability, recurrent climate shocks, disease outbreaks and severe food insecurity converge to deepen vulnerabilities and overwhelm already fragile national and community capacities. These overlapping crises are eroding coping mechanisms and placing increasing strain on people heightening risks to life, health and dignity. In 2026, about 10 million people, two-thirds of the population, require humanitarian assistance, with needs compounded by displacement, food insecurity, disease outbreak, fragile basic services and heightened protection risks, especially for women, children, people with disabilities and other vulnerable groups.  In alignment with the 2026 South Sudan Humanitarian Needs and Response Plan (HNRP), the South Sudan Humanitarian Fund (SSHF) will allocate US$97.2 million from the US Award to deliver time-critical, life-saving assistance to approximately 1.3 million people over a fixed six-month implementation window. This US Reserve Allocation will target IDPs, refugees, returnees and host communities facing acute and life-threatening humanitarian needs in 18 prioritized counties in Upper Nile, Unity, Jonglei, Warrap, Northern Bahr el Ghazal, Eastern Equatoria and the Abyei Administrative Area, prioritizing counties in inter-sectoral severity 4 and 5 as defined in the 2026 HNRP.   To maximize impact within the strict delivery window this allocation will prioritize integrated, multi-sectoral interventions across Food Security and Livelihoods, Nutrition, WASH, Health, Protection and Shelter/NFIs, using cash and voucher assistance where feasible and appropriate, complemented by replenishment of essential life-saving core pipeline supplies, critical enablers- including logistics, UNHAS and demining, to sustain humanitarian access in hard-to-reach and high-risk locations.",Reserve,1E+08,3/4/2026 12:00:00 AM,3/17/2026 12:00:00 AM,US Award_SSHF RA 1_Strategy_FV.pdf##600743##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/SSD-AllocDocs_2026_1566_1615.pdf##,19,South Sudan,2026,Temp HRP for US allocations only##2026,3/17/2026 12:00:00 AM,0,0,0,0,1566,1,1
Scale up and expand multisectoral assistance in hyper-prioritised locations,"In line with the HC’s vision for the SHF for 2026, the proposed US funding contribution to the SHF will contribute to enabling the scale-up and expansion of locally led, multi-sectoral assistance and protection (“full package” responses) for those most in need, in line with the hyper-prioritized areas under inter-sectoral severity 4 and 5, and including those displaced and living in catastrophic conditions. ",Reserve,2E+08,2/26/2026 12:00:00 AM,3/15/2026 12:00:00 AM,SHF RA_US Award_Scaling up and expanding multisectoral assistance_final.pdf##511674##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/SUD-AllocDocs_2026_1565_1624.pdf##,15,Sudan,2026,Temp HRP for US allocations only##2026,3/15/2026 12:00:00 AM,0,0,0,0,1565,1,1
"Réponse multisectorielle vitale aux déplacements et à l'insécurité alimentaire dans les provinces du Ouaddaï, du Wadi Fira, du Sila et du Lac au Tchad","The 2026 special allocation strategy of the FHRAOC for Chad mobilizes USD 97.2 million to address one of the most severe humanitarian crises in the Sahel, marked by the arrival of more than 902,000 Sudanese refugees and 355,000 Chadian returnees since 2023, as well as ongoing violence in the Lake Province, where 225,000 internally displaced persons continue to flee attacks by non‑state armed groups. This unprecedented demographic pressure and the collapse of basic services have sharply increased vulnerabilities, particularly among women and children who represent the majority of new arrivals. With 2.9 million people in acute food insecurity and alarming levels of malnutrition, the allocation provides a critical opportunity to prevent further deterioration of the humanitarian situation. Aligned with the reprioritized 2026 HNRP and the Humanitarian Coordinator’s strategic vision, it embodies a “Humanitarian Reset” aimed at delivering rapid, measurable, and coordinated results at scale.  The allocation prioritizes six departments classified at intersectoral severity level 4/5 across the provinces of Ouaddaï, Wadi Fira, Sila, and Lake, targeting 903,000 people over six months. The budget is distributed across three strategic pillars: approximately 60% for population‑movement response (emergency shelter, NFIs, WASH, health, and protection), 20% for food security and nutrition, and 20% for essential services and protection. A transparent and consultative process involving regional coordinations, clusters, the ICCG, the Advisory Board, and approval by the Humanitarian Coordinator guides decision‑making. Complementarity with CERF funding enhances geographic and sectoral coverage, while a consortium of 18 partners—including UN agencies, international NGOs, and national organizations—ensures large‑scale implementation aligned with FHRAOC standards on accountability, protection, and localization.",Reserve,1E+08,3/12/2026 12:00:00 AM,4/30/2026 12:00:00 AM,Annexe 1. 20260310_FHRAOC_Enveloppe Tchad _liste des acteurs éligibles au financement americain.pdf##323763##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/TCD-AllocDocs_2026_1576_1654.pdf##|||2026 - FHRAOC Enveloppe Tchad_ AR1 Spéciale - Stratégie d'Allocation US_ Version Finale.pdf##360353##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/TCD-AllocDocs_2026_1576_1655.pdf##,90,Chad (RhPF-WCA),2026,Temp HRP for US allocations only##2026,4/30/2026 12:00:00 AM,0,0,0,0,1576,1,1
Urgent life-saving humanitarian assistance for the most hyper-prioritized needs in Uganda,"This Allocation directs scarce pooled resources to the most acute, life-saving priorities in Uganda at a moment of exceptional humanitarian strain. Ongoing forced displacement from neighbouring conflict-affected countries, a protracted refugee situation, as well as critical levels of acute malnutrition in Karamoja among Ugandan children, demand disciplined and time-critical action focused on preventing loss of life and averting irreversible system collapse.    Uganda’s refugee response is under severe pressure amid sharp financing contractions. In Africa’s largest refugee situation, food ration cuts, nutrition pipeline breaks, overstretched health facilities, overcrowded conditions at refugee reception centres, and escalating protection risks related to violence and coercion are converging to create risks of preventable excess mortality among newly arriving refugees and those in vulnerable situations in refugee settlements. In Karamoja, IPC Phase 4 acute malnutrition with Global Acute Malnutrition (GAM) rates exceeding 17–20 per cent  during the lean season, compounded by measles outbreaks  – which already caused over 40 deaths, of which 70% with malnutrition as main driver – and therapeutic food pipeline breaks in February, signals similarly grave risks to child survival.    Anchored in the Uganda Country Refugee Response Plan 2026–2030 Prioritization Framework,   this allocation prioritizes severity-driven interventions across food security, health, nutrition, protection, shelter, and WASH in supporting newly arriving refugees and those at risk in refugee settlements. In parallel, through supporting swift action to address malnutrition in Karamoja foreseeable excess mortality among the most vulnerable will be averted.    To support refugees in Uganda, the allocation will: Assist and protect approximately 70,000 newly arriving refugees with acute survival needs through shelter, core relief items, health, nutrition, WASH and protection services including reception and registration. Protect up to 750,000 highly vulnerable refugees from further food security deterioration through targeted cash and in-kind food assistance. Sustain survival-critical health, protection and water services in refugee-hosting districts to prevent systemic breakdown, reaching approximately 1.5 million refugees.    To support children affected by acute malnutrition in Karamoja, the allocation will Treat about 38,500 malnourished children and vulnerable households with targeted nutrition interventions, alongside active case finding for 90,000 children under five, to prevent avoidable deaths.    By reinforcing collective discipline and evidence-based prioritization, this Allocation Strategy focuses on what must be funded to save lives now. It advances agile, efficient, accountable, coordinated, and – where feasible and effective – locally-driven humanitarian action in line with the Humanitarian Reset, ensuring that scarce resources achieve maximum immediate impact. Moreover, by allocating resources swiftly and to locations with severe needs through the pooled fund enables preserving survival-critical services and frontline response capacity during a period of constrained financing.",Reserve,7.5E+07,3/13/2026 12:00:00 AM,3/25/2026 12:00:00 AM,03.06.2026 - Uganda - US Grant - Reserve Allocation Strategy (Final).pdf##1124372##Allocation Type##https://onegms.unocha.org/pubdocs/Allocationsdocs/UGA-AllocDocs_2026_1577_1660.pdf##,512,Uganda (ESAHF),2026,Temp HRP for US allocations only##2026,3/25/2026 12:00:00 AM,0,0,0,0,1577,1,1
